time,sb,snb,tv,tv1,trans,trans1,trans2,w1,w2,w3,w4,w5,w6,w7,sb1,sb2,sb3,sb4,sb5,sb6,sb7,snb1,snb2,snb3,snb4,snb5,snb6,snb7,tv1,tv2,tv3,tv4,tv5,tv6,tv7,sbm3,sbm4,sbm5,sbm6,sbm8,sbm10,snbm3,snbm4,snbm5,snbm6,snbm8,snbm10,tvm3,tvm4,tvm5,tvm6,tvm8,tvm10
4/18/2016,0,21832.85,0,0,1195,1145,1345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22821.98,23613.8,27785.53,26359.35,18252.1,18087.8,20512.58,0,0,0,0,0,0,0,0,0,0,0,0,21762.35,22756.21,24013.54,24482.7,23444.27,22408.25,21762.35,0,0,0,0,0,0
4/19/2016,0,17395.33,0,0,492.5,1195,1145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21832.85,22821.98,23613.8,27785.53,26359.35,18252.1,18087.8,0,0,0,0,0,0,0,0,0,0,0,0,21671.29,20683.39,21415.99,22689.9,23301.47,22018.59,21671.29,0,0,0,0,0,0
4/20/2016,0,16924.45,0,0,487.5,492.5,1195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17395.33,21832.85,22821.98,23613.8,27785.53,26359.35,18252.1,0,0,0,0,0,0,0,0,0,0,0,0,21358.58,18717.54,19743.65,20517.68,21728.99,21873.17,21358.58,0,0,0,0,0,0
4/21/2016,0,27013.78,0,0,782.5,487.5,492.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16924.45,17395.33,21832.85,22821.98,23613.8,27785.53,26359.35,0,0,0,0,0,0,0,0,0,0,0,0,22008.7,20444.52,20791.6,21197.68,21600.37,22968.38,22008.7,0,0,0,0,0,0
4/22/2016,60,24030.08,0,0,752.5,782.5,487.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27013.78,16924.45,17395.33,21832.85,22821.98,23613.8,27785.53,0,0,0,0,0,0,0,20,15,12,10,7.5,22602.93,22656.1,21340.91,21439.3,21669.75,22677.23,22602.93,0,0,0,0,0,0
4/23/2016,297.5,15420.05,0,0,630,752.5,782.5,0,0,0,0,0,1,0,60,0,0,0,0,0,0,24030.08,27013.78,16924.45,17395.33,21832.85,22821.98,23613.8,0,0,0,0,0,0,0,119.17,89.38,71.5,59.58,44.69,22319.72,22154.64,20847.09,20156.74,20436.09,21131.54,22319.72,0,0,0,0,0,0
4/24/2016,1500,21178.8,0,0,3745,630,752.5,0,0,0,0,0,0,1,297.5,60,0,0,0,0,0,15420.05,24030.08,27013.78,16924.45,17395.33,21832.85,22821.98,0,0,0,0,0,0,0,619.17,464.38,371.5,309.58,232.19,21801.67,20209.64,21910.68,20913.43,20327.08,20827.17,21801.67,0,0,0,0,0,0
4/25/2016,1500,15644.9,0,0,1350,3745,630,1,0,0,0,0,0,0,1500,297.5,60,0,0,0,0,21178.8,15420.05,24030.08,27013.78,16924.45,17395.33,21832.85,0,0,0,0,0,0,0,1099.17,839.38,671.5,559.58,419.69,20587.6,17414.58,19068.46,20657.52,20035.34,19930.03,20587.6,0,0,0,0,0,0
4/26/2016,1172.5,11512.35,0,0,695,1350,3745,0,1,0,0,0,0,0,1500,1500,297.5,60,0,0,0,15644.9,21178.8,15420.05,24030.08,27013.78,16924.45,17395.33,0,0,0,0,0,0,0,1390.83,1117.5,906,755,566.25,19377.46,16112.02,15939.03,17557.24,19133.33,18639.97,19377.46,0,0,0,0,0,0
4/27/2016,957.5,11156.93,0,0,460,695,1350,0,0,1,0,0,0,0,1172.5,1500,1500,297.5,60,0,0,11512.35,15644.9,21178.8,15420.05,24030.08,27013.78,16924.45,0,0,0,0,0,0,0,1210,1282.5,1085.5,914.58,685.94,18210.95,12771.39,14873.25,14982.61,16490.52,17860.17,18210.95,0,0,0,0,0,0
