"","id","county","chci09","chci10","chci11","chci12","chci13","chci14","chci15","chci16","pop09","pop10","pop11","pop12","pop13","pop14","pop15","pop16","chcig","chcigr","popg","popgr"
"31",1061,"Geneva County, Alabama",119.49,119.48,122.34,122.34,122.57,124.05,125.01,124.57,17922,18274,18459,18737,18779,18733,18762,18805,5.08,0.0425140179094485,883,0.0492690547929919
"32",1063,"Greene County, Alabama",118.8,120.77,121.64,124.38,125.22,124.21,123.46,122.67,5970,6088,5893,5966,6015,5888,5923,5965,3.87,0.0325757575757576,-5,-0.000837520938023451
"33",1065,"Hale County, Alabama",119.89,121.88,121.84,123.36,125.49,127.22,127.3,127.91,11544,10552,10518,10463,10492,10364,10271,10229,8.02,0.0668946534323129,-1315,-0.113911988911989
"34",1067,"Henry County, Alabama",125.85,126.97,127.58,129.43,130.73,130.31,130.04,130.52,11087,11969,11917,12081,12162,12307,12213,12221,4.67,0.0371076678585618,1134,0.102281951835483
"35",1069,"Houston County, Alabama",133.31,132.99,133.38,133.73,134.43,135.06,135.78,136.44,64880,66161,67244,68215,68997,69723,70274,70773,3.13,0.0234791088440477,5893,0.0908292231812577
"36",1071,"Jackson County, Alabama",121.54,123.15,124.63,124.64,124.73,125.32,125,126.37,36770,36997,37173,37186,37111,37170,37190,37119,4.83,0.0397400032910976,349,0.00949143323361436
"37",1073,"Jefferson County, Alabama",142.63,143.53,143.75,144.35,145.27,145.65,146.2,147.08,441789,436589,437995,439531,441488,443123,444969,446097,4.45000000000002,0.0311996073757275,4308,0.0097512613487434
"38",1075,"Lamar County, Alabama",121.01,121.43,121.85,122.62,122.14,124.69,124.56,125.7,10182,10283,10238,10226,10164,10112,10017,9998,4.69,0.0387571275101231,-184,-0.0180711058731094
"39",1077,"Lauderdale County, Alabama",133.71,135.56,135.22,135.59,135.66,136.7,136.65,136.69,61204,61976,62367,62668,62721,62760,62870,63148,2.97999999999999,0.0222870391145015,1944,0.031762629893471
"40",1079,"Lawrence County, Alabama",122.38,122.99,125.08,125.41,123.85,124,124.45,123.66,23233,23169,23290,23274,23299,23411,23292,23427,1.28,0.0104592253636215,194,0.00835019153789868
"41",1081,"Lee County, Alabama",144.63,144.97,145.66,145.99,147.25,148.07,149.46,149.4,68916,75568,77424,80386,82970,85595,87947,90099,4.77000000000001,0.0329807093963909,21183,0.307374194671774
"42",1083,"Limestone County, Alabama",130.1,132.91,133.32,134.11,134.97,136.16,136.32,136.18,50490,53419,55089,56813,58244,59598,61004,62036,6.08000000000001,0.0467332820906996,11546,0.228678946326005
"43",1085,"Lowndes County, Alabama",123.35,122.75,124.39,125.05,124.92,124.34,125.83,124.5,8059,7626,7518,7429,7376,7277,7205,7165,1.14999999999999,0.00932306445074983,-894,-0.110931877404144
"44",1087,"Macon County, Alabama",132.59,134,134.41,133.15,133.55,134.47,133.69,134.16,12710,13185,12918,12915,12719,12609,12382,12414,1.56999999999999,0.0118410136511049,-296,-0.0232887490165224
"45",1089,"Madison County, Alabama",150.95,150.68,151.5,152.11,153.05,153.4,153.75,155.06,206313,212171,216923,221377,225696,229780,233276,236871,4.10999999999999,0.0272275587943026,30558,0.14811475767402
"46",1091,"Marengo County, Alabama",128.37,130.33,130.96,131.85,132.19,131.01,130.65,129.4,13726,13985,14019,14061,13974,13943,13783,13679,1.03,0.00802368154553245,-47,-0.00342415853125455
"47",1093,"Marion County, Alabama",120.2,120.25,118.96,120.52,122.9,123.92,126.19,126.98,20811,21843,21795,21690,21751,21713,21650,21538,6.78,0.0564059900166389,727,0.0349334486569603
"48",1095,"Marshall County, Alabama",124.92,124.74,125.51,125.6,126.5,127.4,128.19,128.94,58036,60272,60957,61577,62130,62506,63035,63366,4.02,0.0321805955811719,5330,0.0918395478668413
"49",1097,"Mobile County, Alabama",134.03,134.1,134.73,135.2,135.7,136.47,136.9,138.02,260043,263796,265828,267708,269898,271571,273199,274893,3.99000000000001,0.0297694545997165,14850,0.0571059401714332
"50",1099,"Monroe County, Alabama",124.72,123.97,122.89,122.46,123.56,125.88,126.45,126.92,14882,15390,15296,15359,15282,15093,14913,14893,2.2,0.017639512508018,11,0.000739147963983336
"51",1101,"Montgomery County, Alabama",144.14,143.9,144.6,144.32,144.56,144.67,144.51,145.27,141528,145359,145905,146368,146521,147168,147536,150072,1.13,0.00783960038851114,8544,0.0603696794980499
"52",1103,"Morgan County, Alabama",132.75,131.99,132.46,132.73,133.15,132.92,135.11,134.79,77272,79297,80051,80903,81263,81509,81977,82033,2.03999999999999,0.015367231638418,4761,0.0616135210684336
"53",1105,"Perry County, Alabama",121.27,121.89,122.43,121.28,120.76,119.62,125.79,127.32,6433,6633,6818,6745,6581,6252,6115,5941,6.05000000000001,0.0498886781561805,-492,-0.0764806466656303
"54",1107,"Pickens County, Alabama",123.08,124.33,122.53,122.57,125.01,123.97,124.04,126.03,13065,13351,13321,13390,13326,13562,13839,14084,2.95,0.0239681507962301,1019,0.0779946421737466
"55",1109,"Pike County, Alabama",132.67,135.04,135.04,135.48,136.08,136.35,136.32,136.6,17363,18646,18888,19055,19256,19278,19506,19618,3.92999999999998,0.0296223712972034,2255,0.129873869722974
"56",1111,"Randolph County, Alabama",122.94,121.85,121.88,121.8,121.24,122.48,126.06,126.74,15292,15319,15407,15474,15495,15525,15549,15599,3.80000000000001,0.0309093866926957,307,0.0200758566570756
"57",1113,"Russell County, Alabama",124.23,124.55,125.84,128.17,130,130.09,132.05,132.45,33317,33442,34126,34948,36064,37235,38172,38568,8.21999999999998,0.0661675923689929,5251,0.157607227541495
"58",1115,"St. Clair County, Alabama",128.15,128.21,128.87,129.68,130.58,130.83,131.07,131.81,52678,54763,56057,57090,57946,58701,59246,60054,3.66,0.0285602809207959,7376,0.140020501917309
"59",1117,"Shelby County, Alabama",153.21,153.11,153.68,153.94,153.92,154.13,154.47,155.07,120551,124951,127768,130376,132782,135055,137126,139017,1.85999999999999,0.0121401997258664,18466,0.153179981916367
"60",1119,"Sumter County, Alabama",122.18,123.37,125.2,126.25,125.38,126.63,128.05,131.58,8218,8634,8489,8408,8272,8268,8128,8278,9.40000000000001,0.076935668685546,60,0.00730104648332928
"61",1121,"Talladega County, Alabama",123.95,124.72,125.38,125.58,127.06,126.59,127.24,127.55,53902,55620,55670,55822,55967,55951,56114,55993,3.59999999999999,0.0290439693424768,2091,0.0387926236503284
"62",1123,"Tallapoosa County, Alabama",127,127.89,129.71,127.77,129.68,131.46,131.2,131.1,28238,28734,28875,29016,29019,28921,28908,28910,4.09999999999999,0.0322834645669291,672,0.0237977193852256
"63",1125,"Tuscaloosa County, Alabama",140.69,140.63,140.72,141.3,142.33,143.16,143.42,144.59,104678,110719,112556,114468,117196,119835,120960,123155,3.90000000000001,0.0277205202928425,18477,0.176512734289918
"64",1127,"Walker County, Alabama",123.19,123.34,123.75,124.37,124.34,124.85,125.37,124.86,47871,46946,46663,46419,46142,45901,45786,45633,1.67,0.0135562951538274,-2238,-0.0467506423513192
"65",1129,"Washington County, Alabama",120.69,121.59,123.35,123.26,124.01,125.1,124.55,124.77,11320,11540,11569,11561,11579,11490,11508,11524,4.08,0.0338056176982351,204,0.0180212014134276
"66",1131,"Wilcox County, Alabama",124.49,119.45,120.49,118.49,121.51,123.25,125.54,125.34,7697,7676,7621,7593,7499,7466,7399,7441,0.849999999999994,0.00682785765924969,-256,-0.0332597115759387
"67",1133,"Winston County, Alabama",120.75,121.47,122.5,121.71,122.32,123.16,123.54,125.36,16802,17353,17245,17196,17335,17310,17251,17274,4.61,0.0381780538302277,472,0.028091893822164
"68",2013,"Aleutians East Borough, Alaska",117.1,113.51,125.91,122.99,120.41,122.96,125.15,125.39,2241,3017,2465,2429,2458,2544,2520,2545,8.28999999999999,0.070794192997438,304,0.135653726015172
"69",2016,"Aleutians West Census Area, Alaska",117.67,114.9,122.43,124.56,127.42,130.42,128.67,131.46,4338,5058,4236,4032,4065,4084,3908,4153,13.79,0.117192147531231,-185,-0.0426463808206547
"70",2020,"Anchorage Municipality, Alaska",148.35,149.18,148.83,149.17,149.21,149.52,149.53,150.66,173024,177161,180063,183298,185891,188115,189300,191431,2.31,0.0155712841253792,18407,0.106384085444794
"71",2050,"Bethel Census Area, Alaska",124.28,123.96,123.3,123.92,123.25,124.07,123.37,124.28,8860,8617,8782,8911,9063,9253,9444,9503,0,0,643,0.0725733634311512
"72",2060,"Bristol Bay Borough, Alaska",130.58,132.82,137.44,136.9,138.2,138.44,137.95,136.93,408,636,695,621,618,668,649,649,6.34999999999999,0.0486291928319803,241,0.590686274509804
"73",2068,"Denali Borough, Alaska",143.58,145.48,139.99,140.94,141.8,143.65,150.42,153.52,1187,843,1304,1382,1390,1412,1383,1503,9.94,0.0692296977294888,316,0.266217354675653
"74",2070,"Dillingham Census Area, Alaska",132.43,131.5,131.19,130.33,130.73,129.72,130.63,132.5,2755,2648,2676,2683,2725,2755,2829,2824,0.0699999999999932,0.000528581137204509,69,0.0250453720508167
"75",2090,"Fairbanks North Star Borough, Alaska",145.19,146,145.99,147.28,147.45,148.54,150.04,151.42,56188,56644,58069,59076,59985,60377,60737,61221,6.23000000000002,0.0429092912735038,5033,0.0895742863244821
"76",2100,"Haines Borough, Alaska",150.52,149.46,148.34,148.8,147.27,147.46,152.05,155.71,1753,1198,1869,1833,1948,1876,1934,1847,5.19,0.034480467711932,94,0.0536223616657159
"77",2105,"Hoonah-Angoon Census Area, Alaska",138.58,143.13,143.49,141.61,142.68,145.32,142.55,140.64,1530,1603,1577,1631,1578,1611,1615,1579,2.06,0.0148650598932025,49,0.0320261437908497
"78",2110,"Juneau City and Borough, Alaska",152.28,151.82,154.04,153.73,154.24,154.52,154.96,156.21,20224,20611,20975,21358,21633,21948,22269,22288,3.93000000000001,0.0258077226162333,2064,0.102056962025316
"79",2122,"Kenai Peninsula Borough, Alaska",139.4,140.81,141.18,141.4,141.77,141.6,141.57,142.38,34915,36285,37142,37786,38242,38636,39037,39538,2.97999999999999,0.021377331420373,4623,0.132407274810253
"80",2130,"Ketchikan Gateway Borough, Alaska",142.39,142.38,142.78,141.92,143.24,141.89,141.53,141.6,8661,8902,8992,9088,9199,9258,9320,9428,-0.79000000000002,-0.00554814242573229,767,0.0885579032444291
"81",2150,"Kodiak Island Borough, Alaska",135.73,136.6,140.76,141.48,136.93,138.46,139.79,140.7,7760,8006,7998,8191,8364,8480,8536,8998,4.97000000000003,0.0366168127900982,1238,0.159536082474227
"82",2158,NA,NA,NA,NA,NA,NA,NA,117.76,118.1,NA,NA,NA,NA,NA,NA,3698,3773,NA,NA,NA,NA
"83",2164,"Lake and Peninsula Borough, Alaska",127.88,124.67,134.84,132.48,132.1,128.72,129.16,128.09,694,746,877,845,801,832,858,835,0.209999999999994,0.00164216452924612,141,0.203170028818444
"84",2170,"Matanuska-Susitna Borough, Alaska",138.16,139.39,139.72,139.81,139.93,139.74,139.93,139.62,50586,52158,54289,56077,57480,59136,60694,62756,1.46000000000001,0.0105674580196874,12170,0.240580397738505
"85",2180,"Nome Census Area, Alaska",127.65,128.04,128.15,128.33,130.44,128.8,128.78,128.93,4989,5015,5132,5185,5258,5349,5391,5406,1.28,0.0100274187230709,417,0.0835838845460012
"86",2185,"North Slope Borough, Alaska",131.88,124.67,132.38,134.49,131.5,130.88,131.91,131.65,3540,4626,5091,5911,6073,6247,6283,6318,-0.22999999999999,-0.00174400970579307,2778,0.784745762711864
"87",2188,"Northwest Arctic Borough, Alaska",124.57,125.37,124.77,124.24,124.24,125.54,123.94,123.94,3757,3827,3873,3897,3918,3981,4025,4042,-0.63000000000001,-0.00505739744721851,285,0.0758583976577056
"88",2195,"Petersburg Census Area, Alaska",143.28,145.2,142.79,144.18,144.81,143.38,143.14,141.79,2687,2707,2714,2704,2696,2268,2172,2115,-1.49000000000001,-0.0103992183137912,-572,-0.212876814291031
"89",2198,"Prince of Wales-Hyder Census Area, Alaska",133.42,135.01,133.79,134.28,134.24,134.78,133.83,134.53,3628,3681,3657,3748,3817,4285,4300,4325,1.10999999999999,0.00831959226502762,697,0.192116868798236
"90",2220,"Sitka City and Borough, Alaska",145.31,147.03,152.11,150.13,150.47,149.27,149.14,149.96,5849,5931,5893,6040,6092,6169,6173,6296,4.65000000000001,0.0320005505471062,447,0.0764233202256796
"91",2230,"Skagway Municipality, Alaska",148.15,149.19,145.96,140.07,142.04,150.17,151.51,149.46,691,722,793,783,797,731,792,807,1.31,0.00884238947013164,116,0.167872648335745
"92",2240,"Southeast Fairbanks Census Area, Alaska",134.12,137.65,138.79,140.02,141.64,139.08,137.44,138.04,4022,4309,4381,4479,4524,4469,4450,4495,3.91999999999999,0.0292275574112734,473,0.117603182496271
"93",2261,"Valdez-Cordova Census Area, Alaska",139.9,142.29,143.31,141.51,141.56,141.43,145.4,145.99,6141,6359,6368,6461,6523,6472,6324,6265,6.09,0.0435310936383131,124,0.0201921511154535
"94",2270,"Wade Hampton Census Area, Alaska",119.62,116.77,117.02,117.46,117.58,117.23,NA,NA,3413,3256,3305,3348,3424,3529,NA,NA,NA,NA,NA,NA
"95",2275,"Wrangell City and Borough, Alaska",133.83,133.14,135.41,137.5,133.54,134.63,136.55,136.36,1409,1533,1598,1767,1806,1881,1818,1767,2.53,0.0189045804378689,358,0.254080908445706
"96",2282,"Yakutat City and Borough, Alaska",135.85,134.32,143.38,145.82,139.38,136.81,134.52,136.9,259,390,500,430,396,429,438,451,1.05000000000001,0.00772911299227097,192,0.741312741312741
"97",2290,"Yukon-Koyukuk Census Area, Alaska",124.83,124.76,123.51,123.23,122.54,124.03,125.39,126.49,3549,3490,3491,3549,3537,3524,3543,3541,1.66000000000001,0.0132980853961388,-8,-0.00225415610030995
"98",4001,"Apache County, Arizona",117.26,118.84,119.61,120.77,121.16,121.37,122.49,123.53,38737,40189,40874,41544,42349,42767,43194,43657,6.27,0.0534709193245778,4920,0.127010351859979
"99",4003,"Cochise County, Arizona",136.29,136.33,137.05,137.41,137.87,138.52,138.68,138.94,83977,87126,88249,88805,89013,88904,88549,88171,2.65000000000001,0.0194438330031551,4194,0.0499422460911916
"100",4005,"Coconino County, Arizona",144.31,145.42,145.98,145.76,146.47,147.8,148.9,149.59,70600,76643,77350,78132,78523,79300,79562,80322,5.28,0.0365879010463585,9722,0.137705382436261
"101",4007,"Gila County, Arizona",130.86,131.98,132.11,132.98,133.23,133.61,133.61,134.56,36100,37756,37949,38365,38494,38319,38397,38557,3.69999999999999,0.0282744918233225,2457,0.0680609418282549
